letter,xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgey,yedge,yedgex
T,18.5,22.0,23,30,276,0.0,-0.14130434782608697,22.481884057971016,109.67391304347827,0.0,-266.7119565217391,0.0,3.3043478260869565,1748,2.3,1434
U,20.5,22.0,23,30,398,0.006772995411841852,0.029564489112227813,69.74748743718592,83.10804020100502,1.4334170854271358,-100.24057788944724,22.116834170854272,4.434782608695652,2411,2.3,1482
V,21.0,22.0,26,30,351,-0.008766162612316518,-0.0339031339031339,46.01709401709402,73.88319088319088,0.5641025641025641,-330.27920227920225,-18.125356125356124,3.769230769230769,2353,2.4,1557
W,23.0,22.0,38,30,624,-0.006916329284750383,-0.02462606837606837,113.09615384615384,71.78044871794872,-0.875,-267.43910256410254,-17.333333333333332,3.6578947368421053,3313,2.8,1887
X,20.0,22.0,26,30,389,0.010085030650583322,0.007283633247643569,41.62982005141388,85.81233933161954,0.05141388174807198,58.940874035989715,16.89974293059126,3.6538461538461537,2179,2.966666666666667,1866
Y,20.0,22.0,26,30,289,0.011977641735427232,-0.09861591695501724,34.30449826989619,81.34602076124567,0.03806228373702422,-353.28373702422147,19.07612456747405,3.3846153846153846,2138,2.4,1530
Z,19.0,22.0,24,30,395,-0.0055907172995780146,0.014008438818565358,39.21772151898734,116.19240506329113,-14.321518987341772,75.27848101265823,9.283544303797468,3.1666666666666665,1748,3.3333333333333335,2042
A,17.5,22.0,25,30,260,0.09353846153846149,0.03692307692307691,51.26538461538462,68.75384615384615,-11.446153846153846,245.12307692307692,159.59230769230768,3.96,2227,2.7,1640
B,21.0,22.0,24,30,364,0.003777472527472477,0.014285714285714235,51.82142857142857,92.29120879120879,-13.222527472527473,78.59615384615384,-37.815934065934066,3.9583333333333335,2183,3.566666666666667,2372
C,23.5,22.0,25,30,247,-0.07489878542510127,0.0,67.01113360323886,106.65587044534414,-12.218623481781377,-1.7165991902834008,9.497975708502024,3.6,2059,3.066666666666667,2126
D,19.5,22.0,27,30,323,-0.013243894048847614,0.01145510835913311,72.44195046439629,101.87306501547988,-18.96439628482972,92.83513931888545,-167.24613003095976,3.6666666666666665,2277,3.066666666666667,1916
E,21.0,22.0,26,30,333,-0.07091707091707086,0.004004004004004002,51.85585585585586,109.30930930930931,-20.31231231231231,56.2042042042042,-79.47147147147147,2.923076923076923,1748,3.6,2347
F,21.5,22.0,27,30,299,-0.01133407655146791,0.022519509476031273,72.69147157190635,94.76923076923077,-6.88628762541806,43.60033444816054,58.147157190635454,3.4814814814814814,2141,3.5,2346
G,21.5,22.0,27,30,299,-0.01133407655146791,0.022519509476031273,72.69147157190635,94.76923076923077,-6.88628762541806,43.60033444816054,58.147157190635454,3.4814814814814814,2141,3.5,2346
H,20.0,22.0,28,30,295,0.00932203389830504,-0.0018079096045197456,83.90847457627119,61.81016949152542,-12.169491525423728,-0.06779661016949153,11.071186440677966,3.6785714285714284,2367,2.6333333333333333,1665
I,17.5,22.0,9,30,118,0.036723163841807765,-0.001694915254237254,4.639830508474576,79.11864406779661,-16.21186440677966,-11.19915254237288,27.610169491525422,8.444444444444445,1748,1.8333333333333333,1165
J,18.0,22.0,20,30,164,0.10213414634146342,0.10833333333333334,39.957317073170735,94.85975609756098,-34.52439024390244,3.2560975609756095,53.76829268292683,4.1,1829,2.2,1368
K,22.5,22.0,27,30,284,-0.07081377151799689,-0.014319248826291068,58.264084507042256,74.01408450704226,-10.633802816901408,68.05457746478874,17.278169014084508,3.888888888888889,2414,2.8666666666666667,1956
L,18.5,22.0,19,30,180,-0.1538011695906433,0.16111111111111107,29.805555555555557,114.93333333333334,-3.3055555555555554,224.65277777777777,-176.74444444444444,4.0,1748,2.3333333333333335,1435
M,24.0,22.0,34,30,412,-0.004069103369503136,0.013754045307443381,105.46844660194175,73.66504854368932,-16.00485436893204,-72.98058252427184,-18.441747572815533,4.411764705882353,3366,2.8333333333333335,2000
N,23.0,22.0,28,30,313,0.003993610223642133,0.0009584664536741154,76.02875399361022,71.56869009584665,-5.594249201277956,9.664536741214057,7.05111821086262,4.535714285714286,2911,2.466666666666667,1657
O,21.5,22.0,27,30,291,-0.00031818760341103576,-0.000572737686139746,84.13316151202748,93.92096219931271,-8.087628865979381,-4.231099656357388,11.671821305841924,3.740740740740741,2323,3.1333333333333333,2054
P,19.0,22.0,26,30,266,-0.03932909196067085,-0.12343358395989981,65.01503759398496,80.4624060150376,-27.605263157894736,-87.0187969924812,-84.76315789473684,3.3461538461538463,2067,2.966666666666667,1860
Q,22.0,24.0,28,34,331,0.033124730254639675,-0.02141460813932822,80.15407854984895,100.97583081570997,-0.9879154078549849,-104.25679758308156,158.2749244712991,3.892857142857143,2398,3.0,2282
R,21.5,22.0,27,30,326,0.00806634855714613,-0.057361963190184065,68.01687116564418,83.56748466257669,-10.866564417177914,21.563650306748468,50.12116564417178,3.7037037037037037,2246,3.2666666666666666,2225
S,19.0,22.0,24,30,268,0.021455223880597025,0.006218905472636867,43.708955223880594,98.91044776119404,-7.727611940298507,43.36194029850746,27.26492537313433,3.7083333333333335,2041,3.3666666666666667,2079
T,22.5,22.0,23,30,195,-0.06789297658862875,-0.18273504273504268,28.803846153846155,120.34358974358975,-9.387179487179488,-250.41666666666666,-115.44871794871794,3.3043478260869565,1748,2.466666666666667,1620
U,23.0,22.0,26,30,261,-0.03934571175950484,0.039719029374201756,81.4521072796935,87.44444444444444,-17.39846743295019,-88.816091954023,-96.04980842911877,4.0,2434,2.533333333333333,1673
V,24.5,22.0,25,30,224,-0.08964285714285708,-0.023660714285714236,54.785714285714285,75.47767857142857,-11.154017857142858,-303.8560267857143,-164.67633928571428,4.08,2411,2.3666666666666667,1627
W,23.0,22.0,38,30,425,-0.09275541795665632,-0.01317647058823527,127.04,72.7764705882353,-13.007058823529412,-175.51529411764704,-246.53176470588235,3.9210526315789473,3502,2.8333333333333335,1895
X,23.5,22.0,31,30,263,-0.0033729915368575754,-0.00012674271229400346,54.508555133079845,82.73384030418251,-21.76615969581749,-7.316539923954372,-4.245247148288973,3.225806451612903,2300,3.066666666666667,2097
Y,24.0,22.0,26,30,198,-0.06449106449106455,-0.09343434343434348,42.696969696969695,75.6010101010101,-6.474747474747475,-362.3636363636364,-117.61616161616162,3.5,2213,2.466666666666667,1675
Z,20.0,22.0,24,30,275,0.016515151515151445,0.010424242424242417,38.156363636363636,130.45090909090908,-28.938181818181818,12.32,52.945454545454545,3.1666666666666665,1748,3.433333333333333,2176
